STATE NAME,RC-ALCOHOL DEPENDENCE OR ABUSE - PAST YEAR,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
GEORGIA,1 - Yes,0.001,0.0001,0.001,0.002,0.023,0.0026,0.019,0.029,0.041,0.005,0.032,0.052,345000,40000
UTAH,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,2429000,112000
IOWA,0 - No/Unknown,0.009,0.0003,0.008,0.01,0.009,0.0003,0.009,0.01,0.922,0.0075,0.906,0.936,2409000,89000
ARKANSAS,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,2475000,116000
KANSAS,0 - No/Unknown,0.008,0.0003,0.008,0.009,0.009,0.0004,0.008,0.01,0.95,0.0062,0.936,0.961,2254000,92000
INDIANA,1 - Yes,0.001,0.0001,0.001,0.001,0.02,0.0025,0.016,0.026,0.054,0.0064,0.043,0.068,298000,37000
WEST VIRGINIA,1 - Yes,0,0,0,0,0.004,0.0005,0.003,0.005,0.038,0.0048,0.03,0.049,59000,7000
UTAH,1 - Yes,0,0.0001,0,0.001,0.008,0.0013,0.005,0.011,0.046,0.0075,0.033,0.063,112000,20000
TENNESSEE,0 - No/Unknown,0.02,0.0009,0.018,0.022,0.021,0.001,0.019,0.023,0.957,0.0056,0.945,0.967,5348000,251000
Overall,1 - Yes,0.055,0.0009,0.053,0.057,1,0,N/A,N/A,0.055,0.0009,0.053,0.057,14840000,255000
NORTH CAROLINA,1 - Yes,0.001,0.0001,0.001,0.002,0.024,0.0027,0.019,0.03,0.042,0.0046,0.033,0.052,352000,40000
NORTH DAKOTA,1 - Yes,0,0,0,0,0.003,0.0003,0.002,0.004,0.07,0.0072,0.057,0.086,43000,5000
NEW HAMPSHIRE,1 - Yes,0,0,0,0,0.005,0.0006,0.004,0.006,0.063,0.0072,0.05,0.078,72000,9000
TEXAS,1 - Yes,0.004,0.0003,0.003,0.004,0.069,0.0057,0.059,0.081,0.045,0.0036,0.039,0.053,1023000,89000
MISSISSIPPI,0 - No/Unknown,0.009,0.0004,0.008,0.009,0.009,0.0004,0.008,0.01,0.962,0.0058,0.949,0.972,2354000,101000
ALABAMA,1 - Yes,0.001,0.0001,0,0.001,0.012,0.0015,0.009,0.015,0.042,0.0055,0.033,0.054,172000,22000
MONTANA,Overall,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,878000,32000
OHIO,Overall,0.036,0.0008,0.034,0.038,0.036,0.0008,0.034,0.038,1,0,N/A,N/A,9760000,227000
ALASKA,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,585000,26000
SOUTH DAKOTA,0 - No/Unknown,0.002,0.0001,0.002,0.003,0.003,0.0001,0.002,0.003,0.92,0.0095,0.899,0.937,647000,26000
KENTUCKY,Overall,0.014,0.0004,0.013,0.015,0.014,0.0004,0.013,0.015,1,0,N/A,N/A,3693000,123000
ARKANSAS,1 - Yes,0,0.0001,0,0.001,0.009,0.001,0.007,0.011,0.051,0.0055,0.042,0.063,127000,15000
HAWAII,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,1159000,50000
KENTUCKY,1 - Yes,0.001,0.0001,0,0.001,0.012,0.0017,0.009,0.015,0.046,0.0066,0.035,0.061,171000,25000
ILLINOIS,1 - Yes,0.002,0.0002,0.002,0.003,0.045,0.0037,0.038,0.053,0.062,0.005,0.053,0.073,668000,56000
NEBRASKA,Overall,0.006,0.0002,0.005,0.006,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,1564000,57000
TENNESSEE,1 - Yes,0.001,0.0001,0.001,0.001,0.016,0.0022,0.012,0.021,0.043,0.0056,0.033,0.055,239000,34000
MICHIGAN,1 - Yes,0.002,0.0001,0.001,0.002,0.032,0.0026,0.027,0.037,0.056,0.0045,0.048,0.065,471000,39000
MISSOURI,1 - Yes,0.001,0.0001,0.001,0.001,0.018,0.0026,0.014,0.024,0.053,0.0074,0.04,0.069,267000,38000
NEW HAMPSHIRE,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,1158000,45000
ARIZONA,0 - No/Unknown,0.02,0.0009,0.019,0.022,0.021,0.0009,0.02,0.023,0.945,0.0062,0.932,0.956,5472000,235000
CALIFORNIA,1 - Yes,0.007,0.0004,0.006,0.008,0.124,0.0073,0.11,0.139,0.056,0.0035,0.05,0.063,1840000,119000
ALABAMA,0 - No/Unknown,0.014,0.0007,0.013,0.016,0.015,0.0007,0.014,0.017,0.958,0.0055,0.946,0.967,3899000,179000
NEVADA,1 - Yes,0.001,0.0001,0,0.001,0.009,0.0013,0.007,0.012,0.055,0.007,0.042,0.07,136000,19000
OHIO,1 - Yes,0.002,0.0002,0.002,0.002,0.037,0.0032,0.031,0.044,0.056,0.0049,0.047,0.067,547000,48000
ARIZONA,1 - Yes,0.001,0.0001,0.001,0.001,0.021,0.0024,0.017,0.027,0.055,0.0062,0.044,0.068,316000,36000
NORTH CAROLINA,0 - No/Unknown,0.03,0.0009,0.028,0.032,0.032,0.001,0.03,0.034,0.958,0.0046,0.948,0.967,8136000,260000
IOWA,Overall,0.01,0.0004,0.009,0.01,0.01,0.0004,0.009,0.01,1,0,N/A,N/A,2612000,100000
Overall,0 - No/Unknown,0.945,0.0009,0.943,0.947,1,0,N/A,N/A,0.945,0.0009,0.943,0.947,255927000,1606000
MONTANA,1 - Yes,0,0,0,0,0.005,0.0005,0.004,0.006,0.079,0.0084,0.064,0.097,69000,8000
SOUTH CAROLINA,1 - Yes,0.001,0.0001,0.001,0.001,0.014,0.0023,0.011,0.02,0.051,0.0081,0.038,0.07,214000,34000
IDAHO,0 - No/Unknown,0.005,0.0002,0.004,0.005,0.005,0.0002,0.005,0.005,0.938,0.0063,0.925,0.95,1304000,49000
IOWA,1 - Yes,0.001,0.0001,0.001,0.001,0.014,0.0015,0.011,0.017,0.078,0.0075,0.064,0.094,203000,23000
DELAWARE,1 - Yes,0,0,0,0,0.004,0.0006,0.003,0.005,0.065,0.0105,0.047,0.089,52000,8000
WISCONSIN,Overall,0.018,0.0008,0.016,0.02,0.018,0.0008,0.016,0.02,1,0,N/A,N/A,4877000,220000
MISSISSIPPI,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,2448000,104000
MINNESOTA,1 - Yes,0.001,0.0001,0.001,0.001,0.014,0.0021,0.01,0.019,0.044,0.0063,0.033,0.058,204000,32000
DELAWARE,Overall,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,807000,32000
ILLINOIS,0 - No/Unknown,0.037,0.001,0.035,0.039,0.039,0.001,0.037,0.041,0.938,0.005,0.927,0.947,10045000,268000
SOUTH DAKOTA,Overall,0.003,0.0001,0.002,0.003,0.003,0.0001,0.002,0.003,1,0,N/A,N/A,703000,29000
LOUISIANA,0 - No/Unknown,0.013,0.0005,0.012,0.014,0.014,0.0005,0.013,0.015,0.936,0.0085,0.917,0.95,3587000,140000
CONNECTICUT,0 - No/Unknown,0.011,0.0004,0.01,0.012,0.011,0.0005,0.01,0.012,0.938,0.0072,0.922,0.95,2870000,120000
NEW MEXICO,0 - No/Unknown,0.006,0.0002,0.006,0.006,0.006,0.0002,0.006,0.007,0.937,0.0064,0.923,0.948,1616000,56000
MINNESOTA,Overall,0.017,0.0007,0.016,0.019,0.017,0.0007,0.016,0.019,1,0,N/A,N/A,4631000,201000
NEW JERSEY,Overall,0.028,0.0012,0.026,0.03,0.028,0.0012,0.026,0.03,1,0,N/A,N/A,7583000,335000
DISTRICT OF COLUMBIA,0 - No/Unknown,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.899,0.0108,0.876,0.919,527000,22000
ARIZONA,Overall,0.021,0.0009,0.02,0.023,0.021,0.0009,0.02,0.023,1,0,N/A,N/A,5788000,242000
MICHIGAN,Overall,0.031,0.0007,0.03,0.033,0.031,0.0007,0.03,0.033,1,0,N/A,N/A,8427000,203000
MISSISSIPPI,1 - Yes,0,0.0001,0,0,0.006,0.001,0.005,0.009,0.038,0.0058,0.028,0.051,94000,15000
WASHINGTON,Overall,0.023,0.0011,0.021,0.025,0.023,0.0011,0.021,0.025,1,0,N/A,N/A,6135000,307000
NEW YORK,1 - Yes,0.004,0.0003,0.003,0.004,0.067,0.0048,0.058,0.077,0.059,0.0041,0.052,0.068,995000,74000
NEVADA,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,2476000,106000
ARKANSAS,0 - No/Unknown,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,0.949,0.0055,0.937,0.958,2348000,111000
WISCONSIN,0 - No/Unknown,0.017,0.0008,0.015,0.018,0.018,0.0008,0.016,0.019,0.924,0.0081,0.906,0.938,4506000,218000
VIRGINIA,0 - No/Unknown,0.024,0.0009,0.023,0.026,0.026,0.0009,0.024,0.028,0.944,0.0055,0.932,0.953,6599000,233000
NORTH CAROLINA,Overall,0.031,0.001,0.03,0.033,0.031,0.001,0.03,0.033,1,0,N/A,N/A,8489000,265000
ILLINOIS,Overall,0.04,0.001,0.038,0.042,0.04,0.001,0.038,0.042,1,0,N/A,N/A,10712000,276000
WEST VIRGINIA,Overall,0.006,0.0002,0.005,0.006,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,1551000,50000
WYOMING,0 - No/Unknown,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.935,0.0072,0.92,0.948,448000,20000
MINNESOTA,0 - No/Unknown,0.016,0.0007,0.015,0.018,0.017,0.0007,0.016,0.019,0.956,0.0063,0.942,0.967,4427000,191000
MAINE,0 - No/Unknown,0.004,0.0002,0.004,0.004,0.004,0.0002,0.004,0.005,0.943,0.0068,0.928,0.955,1091000,42000
IDAHO,Overall,0.005,0.0002,0.005,0.006,0.005,0.0002,0.005,0.006,1,0,N/A,N/A,1389000,52000
DELAWARE,0 - No/Unknown,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,0.935,0.0105,0.911,0.953,755000,32000
GEORGIA,0 - No/Unknown,0.03,0.0012,0.028,0.033,0.032,0.0013,0.03,0.035,0.959,0.005,0.948,0.968,8178000,333000
WASHINGTON,1 - Yes,0.001,0.0002,0.001,0.002,0.026,0.0034,0.02,0.033,0.062,0.0076,0.049,0.079,380000,51000
VIRGINIA,1 - Yes,0.001,0.0002,0.001,0.002,0.027,0.0027,0.022,0.032,0.056,0.0055,0.047,0.068,395000,41000
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,270767000,1660000
OREGON,Overall,0.013,0.0005,0.012,0.014,0.013,0.0005,0.012,0.014,1,0,N/A,N/A,3502000,126000
RHODE ISLAND,1 - Yes,0,0,0,0,0.004,0.0005,0.003,0.005,0.065,0.0069,0.053,0.08,59000,7000
SOUTH CAROLINA,0 - No/Unknown,0.015,0.0007,0.013,0.016,0.015,0.0008,0.014,0.017,0.949,0.0081,0.93,0.962,3951000,201000
OREGON,0 - No/Unknown,0.012,0.0004,0.011,0.013,0.013,0.0005,0.012,0.014,0.923,0.0085,0.904,0.938,3232000,120000
CALIFORNIA,0 - No/Unknown,0.115,0.0022,0.11,0.119,0.121,0.0023,0.117,0.126,0.944,0.0035,0.937,0.95,31009000,638000
RHODE ISLAND,Overall,0.003,0.0001,0.003,0.004,0.003,0.0001,0.003,0.004,1,0,N/A,N/A,908000,38000
OKLAHOMA,1 - Yes,0.001,0.0001,0.001,0.001,0.014,0.0022,0.01,0.019,0.063,0.0091,0.047,0.083,202000,33000
NEBRASKA,1 - Yes,0,0,0,0,0.006,0.0007,0.004,0.007,0.054,0.0067,0.043,0.069,85000,11000
MISSOURI,0 - No/Unknown,0.018,0.0006,0.017,0.019,0.019,0.0006,0.018,0.02,0.947,0.0074,0.931,0.96,4813000,159000
KENTUCKY,0 - No/Unknown,0.013,0.0004,0.012,0.014,0.014,0.0005,0.013,0.015,0.954,0.0066,0.939,0.965,3522000,119000
WISCONSIN,1 - Yes,0.001,0.0001,0.001,0.002,0.025,0.0026,0.02,0.031,0.076,0.0081,0.062,0.094,372000,38000
WYOMING,1 - Yes,0,0,0,0,0.002,0.0002,0.002,0.003,0.065,0.0072,0.052,0.08,31000,3000
OKLAHOMA,Overall,0.012,0.0005,0.011,0.013,0.012,0.0005,0.011,0.013,1,0,N/A,N/A,3204000,144000
KANSAS,1 - Yes,0,0.0001,0,0.001,0.008,0.001,0.006,0.01,0.05,0.0062,0.039,0.064,119000,15000
MAINE,1 - Yes,0,0,0,0,0.004,0.0006,0.003,0.006,0.057,0.0068,0.045,0.072,66000,8000
NEW YORK,0 - No/Unknown,0.058,0.0014,0.056,0.061,0.062,0.0015,0.059,0.065,0.941,0.0041,0.932,0.948,15809000,389000
ALASKA,0 - No/Unknown,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.929,0.0066,0.915,0.941,544000,25000
NEW MEXICO,1 - Yes,0,0,0,0,0.007,0.0008,0.006,0.009,0.063,0.0064,0.052,0.077,109000,11000
DISTRICT OF COLUMBIA,1 - Yes,0,0,0,0,0.004,0.0005,0.003,0.005,0.101,0.0108,0.081,0.124,59000,7000
CONNECTICUT,1 - Yes,0.001,0.0001,0.001,0.001,0.013,0.0016,0.01,0.016,0.062,0.0072,0.05,0.078,191000,23000
SOUTH CAROLINA,Overall,0.015,0.0008,0.014,0.017,0.015,0.0008,0.014,0.017,1,0,N/A,N/A,4166000,205000
VERMONT,1 - Yes,0,0,0,0,0.003,0.0004,0.002,0.004,0.078,0.01,0.061,0.1,43000,6000
OREGON,1 - Yes,0.001,0.0001,0.001,0.001,0.018,0.0021,0.015,0.023,0.077,0.0085,0.062,0.096,270000,31000
ALASKA,1 - Yes,0,0,0,0,0.003,0.0003,0.002,0.003,0.071,0.0066,0.059,0.085,41000,4000
MICHIGAN,0 - No/Unknown,0.029,0.0007,0.028,0.031,0.031,0.0008,0.03,0.033,0.944,0.0045,0.935,0.952,7956000,197000
MASSACHUSETTS,0 - No/Unknown,0.02,0.0009,0.018,0.022,0.021,0.001,0.019,0.023,0.921,0.0092,0.901,0.937,5410000,255000
LOUISIANA,1 - Yes,0.001,0.0001,0.001,0.001,0.017,0.0022,0.013,0.022,0.064,0.0085,0.05,0.083,247000,33000
HAWAII,1 - Yes,0,0,0,0,0.004,0.0005,0.003,0.006,0.055,0.0065,0.044,0.07,64000,8000
WASHINGTON,0 - No/Unknown,0.021,0.0011,0.019,0.023,0.022,0.0011,0.02,0.025,0.938,0.0076,0.921,0.951,5755000,290000
PENNSYLVANIA,1 - Yes,0.002,0.0002,0.002,0.002,0.038,0.0029,0.033,0.044,0.052,0.0038,0.045,0.06,568000,42000
COLORADO,Overall,0.017,0.0008,0.016,0.019,0.017,0.0008,0.016,0.019,1,0,N/A,N/A,4647000,205000
FLORIDA,1 - Yes,0.003,0.0002,0.003,0.004,0.063,0.0043,0.055,0.072,0.053,0.0037,0.046,0.06,933000,67000
GEORGIA,Overall,0.031,0.0012,0.029,0.034,0.031,0.0012,0.029,0.034,1,0,N/A,N/A,8524000,328000
NEW JERSEY,0 - No/Unknown,0.027,0.0012,0.025,0.029,0.028,0.0012,0.026,0.031,0.957,0.0039,0.948,0.963,7253000,320000
NEW YORK,Overall,0.062,0.0015,0.059,0.065,0.062,0.0015,0.059,0.065,1,0,N/A,N/A,16804000,408000
RHODE ISLAND,0 - No/Unknown,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.004,0.935,0.0069,0.92,0.947,849000,36000
MONTANA,0 - No/Unknown,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,0.921,0.0084,0.903,0.936,809000,31000
WEST VIRGINIA,0 - No/Unknown,0.006,0.0002,0.005,0.006,0.006,0.0002,0.005,0.006,0.962,0.0048,0.951,0.97,1492000,50000
MASSACHUSETTS,Overall,0.022,0.0009,0.02,0.024,0.022,0.0009,0.02,0.024,1,0,N/A,N/A,5876000,259000
KANSAS,Overall,0.009,0.0003,0.008,0.009,0.009,0.0003,0.008,0.009,1,0,N/A,N/A,2373000,94000
NEW MEXICO,Overall,0.006,0.0002,0.006,0.007,0.006,0.0002,0.006,0.007,1,0,N/A,N/A,1725000,57000
NEBRASKA,0 - No/Unknown,0.005,0.0002,0.005,0.006,0.006,0.0002,0.005,0.006,0.946,0.0067,0.931,0.957,1479000,56000
SOUTH DAKOTA,1 - Yes,0,0,0,0,0.004,0.0005,0.003,0.005,0.08,0.0095,0.063,0.101,56000,8000
INDIANA,Overall,0.02,0.0008,0.019,0.022,0.02,0.0008,0.019,0.022,1,0,N/A,N/A,5521000,217000
MARYLAND,0 - No/Unknown,0.018,0.0007,0.016,0.019,0.019,0.0007,0.017,0.02,0.944,0.0055,0.932,0.954,4762000,186000
WYOMING,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,479000,19000
OHIO,0 - No/Unknown,0.034,0.0008,0.032,0.036,0.036,0.0009,0.034,0.038,0.944,0.0049,0.933,0.953,9213000,225000
FLORIDA,Overall,0.065,0.0017,0.062,0.069,0.065,0.0017,0.062,0.069,1,0,N/A,N/A,17727000,484000
UTAH,0 - No/Unknown,0.009,0.0004,0.008,0.009,0.009,0.0004,0.008,0.01,0.954,0.0075,0.937,0.967,2318000,105000
VIRGINIA,Overall,0.026,0.0009,0.024,0.028,0.026,0.0009,0.024,0.028,1,0,N/A,N/A,6993000,244000
COLORADO,1 - Yes,0.001,0.0001,0.001,0.001,0.02,0.0025,0.015,0.025,0.063,0.007,0.051,0.078,294000,38000
TEXAS,0 - No/Unknown,0.08,0.0019,0.076,0.084,0.085,0.002,0.081,0.089,0.955,0.0036,0.947,0.961,21677000,551000
NEW HAMPSHIRE,0 - No/Unknown,0.004,0.0002,0.004,0.004,0.004,0.0002,0.004,0.005,0.937,0.0072,0.922,0.95,1086000,43000
LOUISIANA,Overall,0.014,0.0005,0.013,0.015,0.014,0.0005,0.013,0.015,1,0,N/A,N/A,3834000,141000
PENNSYLVANIA,0 - No/Unknown,0.038,0.001,0.036,0.04,0.04,0.0011,0.038,0.042,0.948,0.0038,0.94,0.955,10286000,277000
MASSACHUSETTS,1 - Yes,0.002,0.0002,0.001,0.002,0.031,0.0036,0.025,0.039,0.079,0.0092,0.063,0.099,466000,54000
MARYLAND,Overall,0.019,0.0007,0.017,0.02,0.019,0.0007,0.017,0.02,1,0,N/A,N/A,5046000,198000
NORTH DAKOTA,0 - No/Unknown,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.93,0.0072,0.914,0.943,573000,27000
MAINE,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,1157000,43000
CALIFORNIA,Overall,0.121,0.0022,0.117,0.126,0.121,0.0022,0.117,0.126,1,0,N/A,N/A,32849000,657000
VERMONT,0 - No/Unknown,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.922,0.01,0.9,0.939,500000,20000
OKLAHOMA,0 - No/Unknown,0.011,0.0005,0.01,0.012,0.012,0.0005,0.011,0.013,0.937,0.0091,0.917,0.953,3002000,129000
IDAHO,1 - Yes,0,0,0,0,0.006,0.0006,0.005,0.007,0.062,0.0063,0.05,0.075,85000,9000
INDIANA,0 - No/Unknown,0.019,0.0008,0.018,0.021,0.02,0.0008,0.019,0.022,0.946,0.0064,0.932,0.957,5223000,209000
DISTRICT OF COLUMBIA,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,586000,25000
TENNESSEE,Overall,0.021,0.0009,0.019,0.023,0.021,0.0009,0.019,0.023,1,0,N/A,N/A,5587000,262000
HAWAII,0 - No/Unknown,0.004,0.0002,0.004,0.004,0.004,0.0002,0.004,0.005,0.945,0.0065,0.93,0.956,1095000,47000
FLORIDA,0 - No/Unknown,0.062,0.0016,0.059,0.065,0.066,0.0017,0.062,0.069,0.947,0.0037,0.94,0.954,16794000,471000
ALABAMA,Overall,0.015,0.0007,0.014,0.016,0.015,0.0007,0.014,0.016,1,0,N/A,N/A,4071000,181000
NEVADA,0 - No/Unknown,0.009,0.0004,0.008,0.009,0.009,0.0004,0.008,0.01,0.945,0.007,0.93,0.958,2341000,101000
MISSOURI,Overall,0.019,0.0006,0.018,0.02,0.019,0.0006,0.018,0.02,1,0,N/A,N/A,5080000,161000
TEXAS,Overall,0.084,0.002,0.08,0.088,0.084,0.002,0.08,0.088,1,0,N/A,N/A,22701000,581000
NORTH DAKOTA,Overall,0.002,0.0001,0.002,0.003,0.002,0.0001,0.002,0.003,1,0,N/A,N/A,616000,29000
CONNECTICUT,Overall,0.011,0.0005,0.01,0.012,0.011,0.0005,0.01,0.012,1,0,N/A,N/A,3061000,126000
COLORADO,0 - No/Unknown,0.016,0.0007,0.015,0.017,0.017,0.0007,0.016,0.018,0.937,0.007,0.922,0.949,4353000,187000
VERMONT,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,543000,21000
PENNSYLVANIA,Overall,0.04,0.001,0.038,0.042,0.04,0.001,0.038,0.042,1,0,N/A,N/A,10854000,285000
MARYLAND,1 - Yes,0.001,0.0001,0.001,0.001,0.019,0.0021,0.015,0.024,0.056,0.0055,0.046,0.068,284000,31000
NEW JERSEY,1 - Yes,0.001,0.0001,0.001,0.001,0.022,0.0023,0.018,0.027,0.043,0.0039,0.037,0.052,330000,34000