STATE NAME,WHEN PRBLMS WORST FELT SAD/EMPTY/DPRSD EVERY DAY,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
NEBRASKA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
TENNESSEE,98 - BLANK,0,0,0,0,0.007,0.003,0.003,0.016,0.003,0.0011,0.001,0.006,14000,6000
MARYLAND,1 - Yes,0.003,0.0002,0.002,0.003,0.022,0.002,0.018,0.026,0.137,0.0116,0.116,0.162,693000,65000
MISSISSIPPI,99 - LEGITIMATE SKIP,0.008,0.0004,0.007,0.009,0.009,0.0004,0.009,0.01,0.877,0.0106,0.855,0.897,2148000,98000
MAINE,98 - BLANK,0,0,0,0,0.003,0.0013,0.001,0.007,0.005,0.0022,0.002,0.012,6000,3000
COLORADO,1 - Yes,0.003,0.0002,0.002,0.003,0.022,0.0021,0.018,0.027,0.15,0.0145,0.124,0.181,697000,66000
CONNECTICUT,2 - No,0,0.0001,0,0,0.011,0.002,0.007,0.015,0.029,0.0051,0.02,0.041,88000,16000
NEW MEXICO,2 - No,0,0,0,0,0.005,0.0006,0.004,0.006,0.023,0.0031,0.017,0.03,39000,5000
OREGON,99 - LEGITIMATE SKIP,0.01,0.0004,0.009,0.011,0.012,0.0005,0.011,0.013,0.792,0.0129,0.766,0.817,2775000,115000
INDIANA,1 - Yes,0.003,0.0002,0.002,0.003,0.025,0.0019,0.021,0.029,0.141,0.0104,0.122,0.163,780000,61000
MAINE,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
INDIANA,2 - No,0.001,0.0001,0,0.001,0.021,0.0037,0.014,0.029,0.031,0.0055,0.022,0.044,171000,31000
NEBRASKA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
UTAH,2 - No,0,0,0,0.001,0.013,0.0016,0.01,0.016,0.044,0.0054,0.034,0.056,106000,14000
Overall,1 - Yes,0.116,0.0014,0.114,0.119,1,0,N/A,N/A,0.116,0.0014,0.114,0.119,31478000,428000
SOUTH CAROLINA,97 - REFUSED,0,0,0,0,0.016,0.0162,0.002,0.111,0,0.0002,0,0.002,1000,1000
NEW HAMPSHIRE,97 - REFUSED,0,0,0,0,0.007,0.0056,0.002,0.033,0,0.0002,0,0.001,0,0
VIRGINIA,99 - LEGITIMATE SKIP,0.022,0.0008,0.02,0.023,0.026,0.0009,0.024,0.028,0.845,0.009,0.826,0.862,5909000,209000
TEXAS,99 - LEGITIMATE SKIP,0.074,0.0018,0.07,0.077,0.087,0.0021,0.083,0.092,0.881,0.0052,0.87,0.891,19997000,517000
MARYLAND,2 - No,0,0.0001,0,0.001,0.014,0.0034,0.008,0.022,0.023,0.0053,0.014,0.036,114000,29000
MASSACHUSETTS,98 - BLANK,0,0.0001,0,0.001,0.037,0.0176,0.014,0.092,0.012,0.006,0.005,0.032,73000,36000
OHIO,Overall,0.036,0.0008,0.034,0.038,0.036,0.0008,0.034,0.038,1,0,N/A,N/A,9760000,227000
CONNECTICUT,94 - DON T KNOW,0,0,0,0,0.012,0.0124,0.002,0.084,0.001,0.0006,0,0.004,2000,2000
NORTH DAKOTA,Overall,0.002,0.0001,0.002,0.003,0.002,0.0001,0.002,0.003,1,0,N/A,N/A,616000,29000
IDAHO,99 - LEGITIMATE SKIP,0.004,0.0002,0.004,0.004,0.005,0.0002,0.004,0.005,0.79,0.011,0.767,0.811,1097000,43000
COLORADO,98 - BLANK,0,0,0,0,0.007,0.0029,0.003,0.015,0.003,0.0012,0.001,0.007,13000,6000
KENTUCKY,1 - Yes,0.002,0.0002,0.001,0.002,0.015,0.0015,0.012,0.018,0.128,0.0118,0.107,0.153,474000,48000
COLORADO,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
DISTRICT OF COLUMBIA,2 - No,0,0,0,0,0.003,0.0007,0.002,0.005,0.049,0.009,0.034,0.07,29000,6000
VIRGINIA,2 - No,0.001,0.0001,0.001,0.001,0.026,0.0038,0.02,0.034,0.031,0.0042,0.024,0.04,216000,32000
IDAHO,98 - BLANK,0,0,0,0,0.003,0.0015,0.001,0.008,0.004,0.0021,0.001,0.011,6000,3000
ARKANSAS,1 - Yes,0.001,0.0001,0.001,0.001,0.01,0.0008,0.008,0.011,0.122,0.0105,0.103,0.144,301000,26000
CALIFORNIA,1 - Yes,0.013,0.0007,0.012,0.015,0.113,0.0054,0.103,0.124,0.108,0.0047,0.099,0.118,3561000,183000
UTAH,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
WYOMING,94 - DON T KNOW,0,0,0,0,0.002,0.0021,0,0.015,0.001,0.0006,0,0.005,0,0
ALASKA,1 - Yes,0,0,0,0,0.003,0.0002,0.002,0.003,0.152,0.0127,0.129,0.179,89000,7000
FLORIDA,98 - BLANK,0.001,0.0001,0,0.001,0.072,0.0158,0.046,0.109,0.008,0.0019,0.005,0.013,142000,33000
DISTRICT OF COLUMBIA,99 - LEGITIMATE SKIP,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.773,0.0119,0.748,0.795,453000,20000
MICHIGAN,2 - No,0.001,0.0001,0.001,0.001,0.031,0.0033,0.026,0.039,0.031,0.0032,0.025,0.038,261000,27000
OREGON,98 - BLANK,0,0,0,0,0.009,0.0034,0.004,0.019,0.005,0.0019,0.002,0.01,17000,7000
MARYLAND,99 - LEGITIMATE SKIP,0.016,0.0006,0.014,0.017,0.018,0.0007,0.017,0.02,0.837,0.0125,0.811,0.86,4223000,169000
SOUTH CAROLINA,2 - No,0,0.0001,0,0.001,0.015,0.0031,0.01,0.022,0.029,0.0059,0.019,0.043,121000,26000
DISTRICT OF COLUMBIA,98 - BLANK,0,0,0,0,0.002,0.0009,0.001,0.005,0.008,0.0031,0.004,0.017,5000,2000
NORTH CAROLINA,99 - LEGITIMATE SKIP,0.026,0.0009,0.025,0.028,0.031,0.001,0.029,0.033,0.845,0.0099,0.824,0.863,7173000,241000
MISSOURI,2 - No,0.001,0.0001,0.001,0.001,0.027,0.0043,0.019,0.037,0.043,0.0068,0.032,0.059,221000,37000
VERMONT,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
IDAHO,2 - No,0,0,0,0,0.008,0.0012,0.006,0.011,0.05,0.007,0.038,0.066,69000,10000
ARIZONA,94 - DON T KNOW,0,0,0,0,0.02,0.0203,0.003,0.133,0.001,0.0005,0,0.004,3000,3000
NORTH CAROLINA,98 - BLANK,0,0.0001,0,0,0.031,0.0101,0.016,0.059,0.007,0.0024,0.004,0.014,62000,20000
FLORIDA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
ILLINOIS,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
NEVADA,98 - BLANK,0,0.0001,0,0,0.017,0.0068,0.008,0.037,0.014,0.0054,0.006,0.029,34000,14000
MONTANA,99 - LEGITIMATE SKIP,0.003,0.0001,0.002,0.003,0.003,0.0001,0.003,0.003,0.82,0.0103,0.799,0.84,720000,29000
INDIANA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MICHIGAN,1 - Yes,0.004,0.0002,0.003,0.004,0.032,0.0018,0.029,0.036,0.119,0.0063,0.107,0.132,1005000,56000
UTAH,94 - DON T KNOW,0,0,0,0,0.011,0.0108,0.001,0.074,0.001,0.0007,0,0.005,2000,2000
SOUTH DAKOTA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MINNESOTA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MINNESOTA,99 - LEGITIMATE SKIP,0.014,0.0006,0.013,0.015,0.017,0.0007,0.015,0.018,0.821,0.0131,0.794,0.845,3801000,173000
NEW MEXICO,1 - Yes,0.001,0.0001,0.001,0.001,0.007,0.0005,0.006,0.008,0.122,0.0086,0.106,0.14,210000,17000
NEW MEXICO,98 - BLANK,0,0,0,0,0.012,0.0042,0.006,0.024,0.013,0.0049,0.007,0.027,23000,8000
NEBRASKA,99 - LEGITIMATE SKIP,0.005,0.0002,0.005,0.005,0.006,0.0002,0.005,0.006,0.862,0.0104,0.84,0.881,1348000,52000
INDIANA,Overall,0.02,0.0008,0.019,0.022,0.02,0.0008,0.019,0.022,1,0,N/A,N/A,5521000,217000
SOUTH CAROLINA,Overall,0.015,0.0008,0.014,0.017,0.015,0.0008,0.014,0.017,1,0,N/A,N/A,4166000,205000
CALIFORNIA,97 - REFUSED,0,0,0,0,0.309,0.1652,0.089,0.671,0.001,0.0004,0,0.002,17000,12000
OREGON,1 - Yes,0.002,0.0002,0.002,0.002,0.018,0.0013,0.016,0.021,0.165,0.0113,0.144,0.188,578000,42000
DELAWARE,2 - No,0,0,0,0,0.002,0.0006,0.002,0.004,0.025,0.0054,0.016,0.038,20000,5000
ALABAMA,Overall,0.015,0.0007,0.014,0.016,0.015,0.0007,0.014,0.016,1,0,N/A,N/A,4071000,181000
KENTUCKY,94 - DON T KNOW,0,0,0,0,0.002,0.0017,0,0.012,0,0.0001,0,0,0,0
ARIZONA,98 - BLANK,0,0.0001,0,0.001,0.046,0.0114,0.028,0.074,0.016,0.0039,0.01,0.026,91000,23000
LOUISIANA,Overall,0.014,0.0005,0.013,0.015,0.014,0.0005,0.013,0.015,1,0,N/A,N/A,3834000,141000
COLORADO,Overall,0.017,0.0008,0.016,0.019,0.017,0.0008,0.016,0.019,1,0,N/A,N/A,4647000,205000
NEW HAMPSHIRE,99 - LEGITIMATE SKIP,0.003,0.0002,0.003,0.004,0.004,0.0002,0.004,0.004,0.787,0.0131,0.76,0.812,911000,40000
IOWA,94 - DON T KNOW,0,0,0,0,0.029,0.0214,0.007,0.117,0.002,0.0012,0,0.007,4000,3000
MASSACHUSETTS,Overall,0.022,0.0009,0.02,0.024,0.022,0.0009,0.02,0.024,1,0,N/A,N/A,5876000,259000
WYOMING,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,479000,19000
MONTANA,2 - No,0,0,0,0,0.004,0.0007,0.003,0.006,0.039,0.0064,0.028,0.054,34000,6000
FLORIDA,Overall,0.065,0.0017,0.062,0.069,0.065,0.0017,0.062,0.069,1,0,N/A,N/A,17727000,484000
WEST VIRGINIA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
HAWAII,98 - BLANK,0,0,0,0,0.007,0.0014,0.005,0.01,0.012,0.0023,0.008,0.017,13000,3000
NEVADA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MASSACHUSETTS,1 - Yes,0.003,0.0003,0.002,0.003,0.024,0.0023,0.02,0.029,0.128,0.0113,0.108,0.152,753000,73000
MAINE,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,1157000,43000
HAWAII,99 - LEGITIMATE SKIP,0.004,0.0002,0.003,0.004,0.004,0.0002,0.004,0.005,0.872,0.0126,0.846,0.895,1011000,47000
PENNSYLVANIA,97 - REFUSED,0,0,0,0,0.026,0.0265,0.003,0.172,0,0.0001,0,0.001,1000,1000
NORTH CAROLINA,97 - REFUSED,0,0,0,0,0.181,0.1185,0.044,0.515,0.001,0.0009,0,0.005,10000,7000
MARYLAND,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
LOUISIANA,2 - No,0,0.0001,0,0.001,0.013,0.0023,0.01,0.019,0.029,0.0047,0.021,0.04,112000,19000
NEW YORK,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
CONNECTICUT,Overall,0.011,0.0005,0.01,0.012,0.011,0.0005,0.01,0.012,1,0,N/A,N/A,3061000,126000
NEW HAMPSHIRE,2 - No,0,0,0,0,0.006,0.001,0.005,0.009,0.046,0.0066,0.034,0.061,53000,8000
WASHINGTON,94 - DON T KNOW,0,0,0,0,0.05,0.0396,0.01,0.213,0.001,0.001,0,0.006,8000,6000
MINNESOTA,1 - Yes,0.002,0.0002,0.002,0.003,0.019,0.0019,0.015,0.023,0.127,0.0108,0.108,0.15,590000,59000
UTAH,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,2429000,112000
ARKANSAS,Overall,0.009,0.0004,0.008,0.01,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,2475000,116000
MISSISSIPPI,2 - No,0,0,0,0,0.006,0.0012,0.004,0.009,0.021,0.0041,0.015,0.031,52000,10000
MICHIGAN,94 - DON T KNOW,0,0,0,0,0.028,0.0208,0.006,0.114,0.001,0.0004,0,0.002,4000,3000
OREGON,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
WISCONSIN,2 - No,0.001,0.0001,0,0.001,0.022,0.0038,0.016,0.031,0.038,0.0062,0.028,0.052,187000,32000
VIRGINIA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
OREGON,Overall,0.013,0.0005,0.012,0.014,0.013,0.0005,0.012,0.014,1,0,N/A,N/A,3502000,126000
DISTRICT OF COLUMBIA,94 - DON T KNOW,0,0,0,0,0.001,0.0011,0,0.008,0,0.0003,0,0.002,0,0
IDAHO,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
KENTUCKY,Overall,0.014,0.0004,0.013,0.015,0.014,0.0004,0.013,0.015,1,0,N/A,N/A,3693000,123000
ILLINOIS,2 - No,0.001,0.0001,0.001,0.001,0.039,0.0044,0.031,0.048,0.03,0.0032,0.024,0.037,323000,38000
CONNECTICUT,99 - LEGITIMATE SKIP,0.01,0.0004,0.009,0.01,0.011,0.0005,0.01,0.012,0.84,0.0118,0.816,0.862,2572000,117000
LOUISIANA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
LOUISIANA,98 - BLANK,0,0,0,0,0.015,0.0064,0.006,0.035,0.008,0.0034,0.003,0.018,29000,13000
WEST VIRGINIA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
ALABAMA,94 - DON T KNOW,0,0,0,0,0.018,0.0133,0.004,0.074,0.001,0.0005,0,0.003,3000,2000
ALABAMA,98 - BLANK,0,0.0001,0,0,0.023,0.0077,0.012,0.044,0.011,0.0038,0.006,0.022,46000,15000
VERMONT,2 - No,0,0,0,0,0.002,0.0004,0.001,0.003,0.032,0.0057,0.022,0.045,17000,3000
IOWA,Overall,0.01,0.0004,0.009,0.01,0.01,0.0004,0.009,0.01,1,0,N/A,N/A,2612000,100000
NEW YORK,2 - No,0.002,0.0002,0.002,0.002,0.06,0.0058,0.049,0.072,0.029,0.0028,0.024,0.036,495000,50000
MASSACHUSETTS,97 - REFUSED,0,0,0,0,0.097,0.0921,0.014,0.458,0.001,0.0009,0,0.007,5000,5000
ALABAMA,99 - LEGITIMATE SKIP,0.013,0.0006,0.012,0.014,0.015,0.0007,0.014,0.016,0.846,0.011,0.823,0.866,3443000,159000
WISCONSIN,1 - Yes,0.002,0.0002,0.002,0.003,0.02,0.0018,0.016,0.024,0.127,0.0112,0.107,0.151,622000,58000
MICHIGAN,98 - BLANK,0,0.0001,0,0,0.035,0.007,0.024,0.052,0.008,0.0017,0.006,0.012,70000,14000
TEXAS,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
OKLAHOMA,2 - No,0,0.0001,0,0,0.009,0.0019,0.006,0.014,0.024,0.0048,0.016,0.035,77000,16000
FLORIDA,94 - DON T KNOW,0,0,0,0,0.018,0.0129,0.004,0.072,0,0.0001,0,0.001,3000,2000
WYOMING,99 - LEGITIMATE SKIP,0.002,0.0001,0.001,0.002,0.002,0.0001,0.002,0.002,0.851,0.012,0.826,0.873,408000,18000
NEW JERSEY,2 - No,0.001,0.0001,0.001,0.001,0.025,0.004,0.018,0.034,0.027,0.0042,0.02,0.037,207000,34000
TENNESSEE,97 - REFUSED,0,0,0,0,0.044,0.0438,0.006,0.263,0,0.0004,0,0.003,2000,2000
MISSOURI,98 - BLANK,0,0,0,0,0.009,0.004,0.004,0.021,0.003,0.0015,0.001,0.008,18000,8000
KENTUCKY,99 - LEGITIMATE SKIP,0.011,0.0004,0.011,0.012,0.014,0.0005,0.013,0.015,0.839,0.0123,0.813,0.862,3099000,109000
WASHINGTON,99 - LEGITIMATE SKIP,0.018,0.0009,0.016,0.019,0.021,0.0011,0.019,0.023,0.776,0.0143,0.747,0.803,4760000,251000
NEBRASKA,1 - Yes,0.001,0,0,0.001,0.005,0.0004,0.004,0.005,0.091,0.0082,0.076,0.108,142000,13000
Overall,97 - REFUSED,0,0.0001,0,0,1,0,N/A,N/A,0,0.0001,0,0,55000,17000
WEST VIRGINIA,98 - BLANK,0,0,0,0,0.01,0.0034,0.005,0.019,0.013,0.0043,0.006,0.024,19000,7000
NEW MEXICO,Overall,0.006,0.0002,0.006,0.007,0.006,0.0002,0.006,0.007,1,0,N/A,N/A,1725000,57000
DISTRICT OF COLUMBIA,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,586000,25000
MONTANA,97 - REFUSED,0,0,0,0,0.031,0.0314,0.004,0.2,0.002,0.0019,0,0.014,2000,2000
NEW JERSEY,94 - DON T KNOW,0,0,0,0,0.096,0.0666,0.023,0.324,0.002,0.0014,0,0.008,15000,11000
GEORGIA,94 - DON T KNOW,0,0,0,0,0.041,0.0398,0.006,0.239,0.001,0.0007,0,0.005,6000,6000
IOWA,97 - REFUSED,0,0,0,0,0.106,0.078,0.023,0.374,0.002,0.0017,0.001,0.01,6000,4000
KANSAS,2 - No,0,0,0,0,0.009,0.0016,0.006,0.012,0.03,0.0052,0.021,0.042,71000,13000
MAINE,1 - Yes,0.001,0.0001,0,0.001,0.005,0.0005,0.004,0.006,0.133,0.0126,0.11,0.16,154000,16000
SOUTH CAROLINA,99 - LEGITIMATE SKIP,0.013,0.0007,0.012,0.015,0.016,0.0008,0.014,0.017,0.862,0.012,0.836,0.883,3589000,179000
Overall,94 - DON T KNOW,0.001,0.0001,0,0.001,1,0,N/A,N/A,0.001,0.0001,0,0.001,153000,29000
MICHIGAN,Overall,0.031,0.0007,0.03,0.033,0.031,0.0007,0.03,0.033,1,0,N/A,N/A,8427000,203000
NEW JERSEY,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
ALASKA,99 - LEGITIMATE SKIP,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,0.792,0.0159,0.759,0.821,463000,25000
OKLAHOMA,99 - LEGITIMATE SKIP,0.01,0.0004,0.009,0.011,0.012,0.0005,0.011,0.013,0.834,0.0117,0.81,0.856,2673000,121000
MISSOURI,97 - REFUSED,0,0,0,0,0.031,0.0311,0.004,0.198,0,0.0003,0,0.002,2000,2000
MICHIGAN,99 - LEGITIMATE SKIP,0.026,0.0007,0.025,0.028,0.031,0.0008,0.029,0.033,0.841,0.0074,0.826,0.855,7087000,189000
IDAHO,Overall,0.005,0.0002,0.005,0.006,0.005,0.0002,0.005,0.006,1,0,N/A,N/A,1389000,52000
COLORADO,2 - No,0.001,0.0001,0,0.001,0.02,0.0035,0.014,0.028,0.036,0.0058,0.026,0.049,166000,29000
GEORGIA,Overall,0.031,0.0012,0.029,0.034,0.031,0.0012,0.029,0.034,1,0,N/A,N/A,8524000,328000
CALIFORNIA,99 - LEGITIMATE SKIP,0.103,0.0019,0.099,0.107,0.122,0.0022,0.118,0.126,0.849,0.0059,0.837,0.86,27875000,546000
HAWAII,Overall,0.004,0.0002,0.004,0.005,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,1159000,50000
SOUTH CAROLINA,1 - Yes,0.002,0.0002,0.001,0.002,0.014,0.0015,0.011,0.017,0.102,0.0095,0.085,0.122,426000,47000
NEBRASKA,98 - BLANK,0,0,0,0,0.008,0.0043,0.003,0.023,0.01,0.0053,0.003,0.028,15000,8000
PENNSYLVANIA,1 - Yes,0.004,0.0002,0.004,0.004,0.034,0.002,0.031,0.039,0.1,0.0052,0.09,0.111,1086000,62000
TENNESSEE,2 - No,0,0.0001,0,0.001,0.014,0.0024,0.01,0.02,0.021,0.0034,0.015,0.029,116000,20000
PENNSYLVANIA,2 - No,0.001,0.0001,0.001,0.001,0.036,0.0042,0.028,0.045,0.027,0.0033,0.022,0.035,298000,35000
KENTUCKY,98 - BLANK,0,0,0,0,0.007,0.0041,0.002,0.022,0.004,0.0022,0.001,0.012,14000,8000
NORTH DAKOTA,98 - BLANK,0,0,0,0,0.001,0.0005,0.001,0.003,0.004,0.0017,0.002,0.009,3000,1000
NEW MEXICO,99 - LEGITIMATE SKIP,0.005,0.0002,0.005,0.006,0.006,0.0002,0.006,0.007,0.841,0.0085,0.824,0.857,1451000,52000
DELAWARE,99 - LEGITIMATE SKIP,0.003,0.0001,0.002,0.003,0.003,0.0001,0.003,0.003,0.849,0.0136,0.82,0.874,686000,29000
ALASKA,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
WEST VIRGINIA,99 - LEGITIMATE SKIP,0.005,0.0002,0.004,0.005,0.006,0.0002,0.005,0.006,0.816,0.0146,0.786,0.843,1266000,52000
KANSAS,99 - LEGITIMATE SKIP,0.007,0.0003,0.007,0.008,0.009,0.0004,0.008,0.01,0.845,0.011,0.822,0.865,2005000,85000
MISSISSIPPI,97 - REFUSED,0,0,0,0,0.024,0.0245,0.003,0.161,0.001,0.0005,0,0.004,1000,1000
MISSISSIPPI,98 - BLANK,0,0,0,0,0.005,0.0025,0.002,0.013,0.004,0.0021,0.002,0.011,10000,5000
ARKANSAS,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
ALASKA,98 - BLANK,0,0,0,0,0.005,0.0013,0.003,0.008,0.017,0.004,0.01,0.027,10000,2000
ILLINOIS,97 - REFUSED,0,0,0,0,0.034,0.034,0.004,0.214,0,0.0002,0,0.001,2000,2000
SOUTH DAKOTA,2 - No,0,0,0,0,0.002,0.0004,0.002,0.003,0.025,0.0044,0.018,0.036,18000,3000
VERMONT,98 - BLANK,0,0,0,0,0.002,0.0009,0.001,0.005,0.006,0.0032,0.002,0.017,3000,2000
CONNECTICUT,98 - BLANK,0,0,0,0,0.002,0.0012,0.001,0.006,0.001,0.0008,0.001,0.004,4000,2000
OKLAHOMA,1 - Yes,0.002,0.0001,0.001,0.002,0.014,0.0013,0.012,0.017,0.137,0.0105,0.118,0.159,439000,40000
IDAHO,1 - Yes,0.001,0.0001,0.001,0.001,0.007,0.0005,0.006,0.008,0.156,0.0085,0.14,0.174,217000,15000
DELAWARE,Overall,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,807000,32000
RHODE ISLAND,2 - No,0,0,0,0,0.004,0.0007,0.003,0.005,0.035,0.006,0.025,0.049,32000,6000
ARIZONA,99 - LEGITIMATE SKIP,0.018,0.0008,0.017,0.02,0.021,0.0009,0.02,0.023,0.846,0.0125,0.82,0.87,4900000,212000
MISSOURI,Overall,0.019,0.0006,0.018,0.02,0.019,0.0006,0.018,0.02,1,0,N/A,N/A,5080000,161000
OREGON,2 - No,0,0.0001,0,0.001,0.016,0.0023,0.012,0.021,0.037,0.0054,0.028,0.049,130000,19000
CALIFORNIA,98 - BLANK,0.001,0.0002,0.001,0.002,0.168,0.0254,0.124,0.224,0.01,0.0017,0.007,0.014,333000,58000
MASSACHUSETTS,2 - No,0.001,0.0001,0.001,0.001,0.032,0.0045,0.025,0.043,0.046,0.0058,0.036,0.059,270000,38000
VERMONT,Overall,0.002,0.0001,0.002,0.002,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,543000,21000
Overall,99 - LEGITIMATE SKIP,0.845,0.0016,0.842,0.848,1,0,N/A,N/A,0.845,0.0016,0.842,0.848,228789000,1458000